bioma,year,registros,riqueza
Amazônia,2000,2983,1112
Amazônia,2001,8064,2094
Amazônia,2002,3891,1377
Amazônia,2003,3649,1302
Amazônia,2004,3382,1142
Amazônia,2005,3734,1296
Amazônia,2006,3845,1369
Amazônia,2007,8572,2447
Amazônia,2008,13988,2861
Amazônia,2009,9698,2616
Amazônia,2010,16012,3133
Amazônia,2011,21252,4038
Amazônia,2012,23122,4470
Amazônia,2013,12358,2587
Amazônia,2014,17908,3458
Amazônia,2015,21315,3423
Amazônia,2016,12767,2851
Amazônia,2017,19121,3507
Amazônia,2018,13276,3076
Amazônia,2019,16307,3050
Amazônia,2020,5488,1709
Amazônia,2021,8938,2179
Amazônia,2022,11364,2737
Amazônia,2023,8836,2333
Amazônia,2024,10327,2537
Amazônia,2025,7891,2287
Amazônia,2026,2439,909
Caatinga,2000,18997,2863
Caatinga,2001,19076,2936
Caatinga,2002,13573,2747
Caatinga,2003,15508,3088
Caatinga,2004,17964,3119
Caatinga,2005,18688,3229
Caatinga,2006,22409,3388
Caatinga,2007,22692,3546
Caatinga,2008,16025,2966
Caatinga,2009,31888,3837
Caatinga,2010,24076,3467
Caatinga,2011,21631,3291
Caatinga,2012,23992,3119
Caatinga,2013,17389,2811
Caatinga,2014,27500,3368
Caatinga,2015,16527,2729
Caatinga,2016,15120,2453
Caatinga,2017,15680,2785
Caatinga,2018,16087,2807
Caatinga,2019,18019,2511
Caatinga,2020,4310,1260
Caatinga,2021,10506,1907
Caatinga,2022,13717,2667
Caatinga,2023,20413,2765
Caatinga,2024,18580,3058
Caatinga,2025,11643,2900
Caatinga,2026,5992,1866
Cerrado,2000,23160,4007
Cerrado,2001,24179,4120
Cerrado,2002,27431,4314
Cerrado,2003,28836,4463
Cerrado,2004,26399,4505
Cerrado,2005,23902,4237
Cerrado,2006,23397,4032
Cerrado,2007,36784,5220
Cerrado,2008,32545,4729
Cerrado,2009,31589,4807
Cerrado,2010,26711,4487
Cerrado,2011,23232,4156
Cerrado,2012,34636,4885
Cerrado,2013,28511,4315
Cerrado,2014,27872,4372
Cerrado,2015,26574,4425
Cerrado,2016,21505,4164
Cerrado,2017,25432,4399
Cerrado,2018,30230,4719
Cerrado,2019,19131,3977
Cerrado,2020,15046,3124
Cerrado,2021,16192,3211
Cerrado,2022,18990,3871
Cerrado,2023,18332,4101
Cerrado,2024,16829,3698
Cerrado,2025,13255,3508
Cerrado,2026,5630,1806
Mata Atlântica,2000,30337,5997
Mata Atlântica,2001,38061,6508
Mata Atlântica,2002,27555,5940
Mata Atlântica,2003,29116,6132
Mata Atlântica,2004,33446,6607
Mata Atlântica,2005,38171,6853
Mata Atlântica,2006,58300,7735
Mata Atlântica,2007,67809,8567
Mata Atlântica,2008,73577,8689
Mata Atlântica,2009,78076,8639
Mata Atlântica,2010,79094,8301
Mata Atlântica,2011,60685,8628
Mata Atlântica,2012,57789,8353
Mata Atlântica,2013,61847,8684
Mata Atlântica,2014,57450,8088
Mata Atlântica,2015,56320,8042
Mata Atlântica,2016,50819,7800
Mata Atlântica,2017,43137,7264
Mata Atlântica,2018,53698,7629
Mata Atlântica,2019,50402,7450
Mata Atlântica,2020,32219,5457
Mata Atlântica,2021,56469,6773
Mata Atlântica,2022,64616,7598
Mata Atlântica,2023,57104,7995
Mata Atlântica,2024,53310,7417
Mata Atlântica,2025,56032,7557
Mata Atlântica,2026,29920,4799
Pampa,2000,172,127
Pampa,2001,191,138
Pampa,2002,1076,404
Pampa,2003,1399,414
Pampa,2004,661,260
Pampa,2005,938,226
Pampa,2006,1394,490
Pampa,2007,1085,470
Pampa,2008,2029,786
Pampa,2009,2309,774
Pampa,2010,2856,869
Pampa,2011,2536,712
Pampa,2012,3447,892
Pampa,2013,1975,667
Pampa,2014,2666,730
Pampa,2015,4289,1083
Pampa,2016,1295,566
Pampa,2017,1839,840
Pampa,2018,1565,683
Pampa,2019,1794,752
Pampa,2020,1739,676
Pampa,2021,2110,708
Pampa,2022,3065,1076
Pampa,2023,2718,1034
Pampa,2024,2623,1041
Pampa,2025,3064,1168
Pampa,2026,1387,660
Pantanal,2000,404,190
Pantanal,2001,3257,827
Pantanal,2002,1288,496
Pantanal,2003,1647,564
Pantanal,2004,1633,506
Pantanal,2005,2392,811
Pantanal,2006,1454,596
Pantanal,2007,2038,716
Pantanal,2008,1545,612
Pantanal,2009,2348,829
Pantanal,2010,3372,990
Pantanal,2011,1325,593
Pantanal,2012,1872,702
Pantanal,2013,1264,617
Pantanal,2014,1077,528
Pantanal,2015,1071,478
Pantanal,2016,440,248
Pantanal,2017,1249,499
Pantanal,2018,473,250
Pantanal,2019,451,219
Pantanal,2020,75,49
Pantanal,2021,246,162
Pantanal,2022,1083,472
Pantanal,2023,813,352
Pantanal,2024,1802,750
Pantanal,2025,1382,492
Pantanal,2026,263,143
