species,classe_atual,classe_futura,registros,percentual
Araucaria angustifolia,Cfb,Cfa,1415,55.8405682715075
Araucaria angustifolia,Cfa,Cfa,205,8.08997632202052
Araucaria angustifolia,Cfa,Af,179,7.06393054459353
Araucaria angustifolia,Cfa,Am,135,5.327545382794
Araucaria angustifolia,Cfb,Cfb,134,5.28808208366219
Araucaria angustifolia,Cwb,Cwb,89,3.51223362273086
Araucaria angustifolia,Cfa,Aw,87,3.43330702446725
Araucaria angustifolia,Cwb,Aw,66,2.60457774269929
Araucaria angustifolia,Cwa,Aw,49,1.93370165745856
Araucaria angustifolia,Aw,Aw,37,1.46014206787687
Araucaria angustifolia,Cwb,Cfa,31,1.22336227308603
Araucaria angustifolia,Cfb,Am,30,1.18389897395422
Araucaria angustifolia,Cwb,Cwa,23,0.907655880031571
Araucaria angustifolia,Cfb,Aw,17,0.670876085240726
Araucaria angustifolia,Cwb,Cfb,15,0.591949486977111
Araucaria angustifolia,Af,Am,5,0.197316495659037
Araucaria angustifolia,Am,Am,4,0.15785319652723
Araucaria angustifolia,Aw,Am,3,0.118389897395422
Araucaria angustifolia,Cfb,Af,3,0.118389897395422
Araucaria angustifolia,Af,Af,2,0.0789265982636148
Araucaria angustifolia,Cfb,Cwb,2,0.0789265982636148
Araucaria angustifolia,Am,Af,1,0.0394632991318074
Araucaria angustifolia,BSh,BSh,1,0.0394632991318074
Araucaria angustifolia,Cwb,Am,1,0.0394632991318074
Cariniana legalis,Aw,Aw,96,43.6363636363636
Cariniana legalis,Cfa,Aw,36,16.3636363636364
Cariniana legalis,Am,Am,16,7.27272727272727
Cariniana legalis,Af,Aw,12,5.45454545454545
Cariniana legalis,Cwa,Aw,12,5.45454545454545
Cariniana legalis,Am,Aw,11,5
Cariniana legalis,Aw,Am,10,4.54545454545455
Cariniana legalis,Af,Af,7,3.18181818181818
Cariniana legalis,Cfa,Am,5,2.27272727272727
Cariniana legalis,Cfb,Cfa,4,1.81818181818182
Cariniana legalis,Af,Am,3,1.36363636363636
